Movie Names,Release Year,Movie Genres,Movie IMDb Ratings,Movie Url,Movie Streaming Service,,
lust-stories-2,2023,Romance,9.6,https://www.justwatch.com/in/movie/lust-stories-2,Netflix,,
adipurush,2023,Drama,2.9,https://www.justwatch.com/in/movie/adipurush,Provider not found,,
fast-x,2023,Fantasy,5.9,https://www.justwatch.com/in/movie/fast-x,Zee5,,
guardians-of-the-galaxy-vol-3,2023,Romance,8.1,https://www.justwatch.com/in/movie/guardians-of-the-galaxy-vol-3,Apple TV,,
john-wick-chapter-4,2023,History,7.8,https://www.justwatch.com/in/movie/john-wick-chapter-4,Lionsgate Play,,
kabhi-eid-kabhi-diwali,2023,Action & Adventure,4.7,https://www.justwatch.com/in/movie/kabhi-eid-kabhi-diwali,Zee5,,
culpa-mia,2023,Drama,6.3,https://www.justwatch.com/in/movie/culpa-mia,Amazon Prime Video,,
transformers-rise-of-the-beasts,2023,Fantasy,6.2,https://www.justwatch.com/in/movie/transformers-rise-of-the-beasts,Provider not found,,
the-flash,2023,War & Military,7.2,https://www.justwatch.com/in/movie/the-flash,Provider not found,,
extraction-2,2023,Crime,7.1,https://www.justwatch.com/in/movie/extraction-2,Netflix,,
avatar-2,2022,Mystery & Thriller,7.6,https://www.justwatch.com/in/movie/avatar-2,Hotstar,,
ib-71,2023,Action & Adventure,7.4,https://www.justwatch.com/in/movie/ib-71,Provider not found,,
mission-impossible-7,2023,Mystery & Thriller,8.1,https://www.justwatch.com/in/movie/mission-impossible-7,Provider not found,,
untitled-luv-ranjan-film,2023,Action & Adventure,6.1,https://www.justwatch.com/in/movie/untitled-luv-ranjan-film,Netflix,,
sisu-2023,2023,Comedy,6.9,https://www.justwatch.com/in/movie/sisu-2023,Amazon Video,,
spider-man-into-the-spider-verse-2,2023,Science-Fiction,8.9,https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2,Provider not found,,
guy-ritchies-the-covenant,2023,Action & Adventure,7.5,https://www.justwatch.com/in/movie/guy-ritchies-the-covenant,Amazon Prime Video,,
pathaan,2023,Mystery & Thriller,5.9,https://www.justwatch.com/in/movie/pathaan,Amazon Prime Video,,
good-night-2023,2023,Horror,8.4,https://www.justwatch.com/in/movie/good-night-2023,Hotstar,,
no-hard-feelings-2023,2023,Crime,6.7,https://www.justwatch.com/in/movie/no-hard-feelings-2023,Provider not found,,
2018-2023,2023,Comedy,8.5,https://www.justwatch.com/in/movie/2018-2023,Sony Liv,,
satyaprem-ki-katha,2023,Action & Adventure,7,https://www.justwatch.com/in/movie/satyaprem-ki-katha,Provider not found,,
sirf-ek-bandaa-kaafi-hai,2023,Drama,7.8,https://www.justwatch.com/in/movie/sirf-ek-bandaa-kaafi-hai,Zee5,,
evil-dead-rise,2023,Romance,6.6,https://www.justwatch.com/in/movie/evil-dead-rise,Amazon Video,,
tenet,2020,Drama,7.3,https://www.justwatch.com/in/movie/tenet,VI movies and tv,,
365-days,2020,Romance,3.3,https://www.justwatch.com/in/movie/365-days,Netflix,,
zara-hatke-zara-bach-ke,2023,Action & Adventure,7.8,https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke,Provider not found,,
por-thozhil,2023,Science-Fiction,8.5,https://www.justwatch.com/in/movie/por-thozhil,Provider not found,,
super-mario-bros-the-movie,2023,Action & Adventure,7.2,https://www.justwatch.com/in/movie/super-mario-bros-the-movie,Zee5,,
bloody-daddy,2023,Science-Fiction,7.1,https://www.justwatch.com/in/movie/bloody-daddy,Jio Cinema,,
ponniyin-selvan-part-two,2023,Fantasy,7.4,https://www.justwatch.com/in/movie/ponniyin-selvan-part-two,Amazon Prime Video,,
kandahar-2024,Release Year not found,Action & Adventure,6,https://www.justwatch.com/in/movie/kandahar-2024,Provider not found,,
mem-famous,2023,Mystery & Thriller,8.6,https://www.justwatch.com/in/movie/mem-famous,Amazon Prime Video,,
k-g-f-chapter-2,2022,Science-Fiction,8.3,https://www.justwatch.com/in/movie/k-g-f-chapter-2,Amazon Prime Video,,
spider-man-no-way-home,2021,Action & Adventure,8.2,https://www.justwatch.com/in/movie/spider-man-no-way-home,Sony Liv,,
bird-box-barcelona,2023,Fantasy,&,https://www.justwatch.com/in/movie/bird-box-barcelona,Netflix,,
everything-everywhere-all-at-once,Release Year not found,Mystery & Thriller,7.8,https://www.justwatch.com/in/movie/everything-everywhere-all-at-once,Provider not found,,
virupaksha,2023,Mystery & Thriller,7.3,https://www.justwatch.com/in/movie/virupaksha,Netflix,,
ghosted,2023,Action & Adventure,5.8,https://www.justwatch.com/in/movie/ghosted,Apple TV Plus,,
agent,2023,Mystery & Thriller,4.3,https://www.justwatch.com/in/movie/agent,Provider not found,,
