Show names,Release year,Genere,url,Imdb Ratings,streaming service
the-night-manager-2023,2023,Drama,https://www.justwatch.com/in/tv-show/the-night-manager-2023,7.6,Hotstar
asur,2020,Action & Adventure,https://www.justwatch.com/in/tv-show/asur,8.5,Jio Cinema
secret-invasion,2023,Crime,https://www.justwatch.com/in/tv-show/secret-invasion,6.7,Hotstar
the-bear,2022,Mystery & Thriller,https://www.justwatch.com/in/tv-show/the-bear,8.4,Hotstar
farzi,2023,Mystery & Thriller,https://www.justwatch.com/in/tv-show/farzi,8.4,Amazon Prime Video
from,2022,Crime,https://www.justwatch.com/in/tv-show/from,7.8,Provider not found
the-summer-i-turned-pretty,2022,Drama,https://www.justwatch.com/in/tv-show/the-summer-i-turned-pretty,7.4,Amazon Prime Video
jee-karda,2023,Science-Fiction,https://www.justwatch.com/in/tv-show/jee-karda,7.2,Amazon Prime Video
the-idol,2023,Mystery & Thriller,https://www.justwatch.com/in/tv-show/the-idol,4.7,Jio Cinema
adhura,2023,Action & Adventure,https://www.justwatch.com/in/tv-show/adhura,6.6,Amazon Prime Video
dark-desire,2020,Drama,https://www.justwatch.com/in/tv-show/dark-desire,6.5,Netflix
the-last-of-us,2023,Drama,https://www.justwatch.com/in/tv-show/the-last-of-us,9.2,Jio Cinema
highway-love,2023,Comedy,https://www.justwatch.com/in/tv-show/highway-love,7.9,Amazon miniTV
hijack,2023,Drama,https://www.justwatch.com/in/tv-show/hijack,7.8,Apple TV Plus
silo,2023,Mystery & Thriller,https://www.justwatch.com/in/tv-show/silo,8.1,Apple TV Plus
never-have-i-ever,2020,Crime,https://www.justwatch.com/in/tv-show/never-have-i-ever,7.9,Netflix
kohrra,2023,Mystery & Thriller,https://www.justwatch.com/in/tv-show/kohrra,7.4,Netflix
aashram,2020,Drama,https://www.justwatch.com/in/tv-show/aashram,1.9,MX Player
bigg-boss-ott,2021,Horror,https://www.justwatch.com/in/tv-show/bigg-boss-ott,7.2,Jio Cinema
mastram,2020,Science-Fiction,https://www.justwatch.com/in/tv-show/mastram,9.1,Provider not found
the-legend-of-hanuman,2021,Romance,https://www.justwatch.com/in/tv-show/the-legend-of-hanuman,7.7,Hotstar
the-lincoln-lawyer,2022,Drama,https://www.justwatch.com/in/tv-show/the-lincoln-lawyer,9.3,Netflix
scam-1992-the-harshad-mehta-story,2020,Drama,https://www.justwatch.com/in/tv-show/scam-1992-the-harshad-mehta-story,8.5,Sony Liv
jujutsu-kaisen,2020,Romance,https://www.justwatch.com/in/tv-show/jujutsu-kaisen,8,Netflix
hidden-love,2023,Drama,https://www.justwatch.com/in/tv-show/hidden-love,7.7,Netflix
inspector-avinash,2023,Horror,https://www.justwatch.com/in/tv-show/inspector-avinash,5.5,Jio Cinema
scoop-2023,2023,Mystery & Thriller,https://www.justwatch.com/in/tv-show/scoop-2023,8,Netflix
sex-life,2021,Drama,https://www.justwatch.com/in/tv-show/sex-life,8.9,Netflix
saas-bahu-aur-flamingo,2023,Mystery & Thriller,https://www.justwatch.com/in/tv-show/saas-bahu-aur-flamingo,8.1,Hotstar
panchayat,2020,Drama,https://www.justwatch.com/in/tv-show/panchayat,7.6,Amazon Prime Video
wednesday,2022,Mystery & Thriller,https://www.justwatch.com/in/tv-show/wednesday,8.5,Netflix
roar-2023,2023,Action & Adventure,https://www.justwatch.com/in/tv-show/roar-2023,8.1,Amazon Prime Video
fatal-seduction,2023,Horror,https://www.justwatch.com/in/tv-show/fatal-seduction,8.8,Netflix
house-of-the-dragon,2022,Science-Fiction,https://www.justwatch.com/in/tv-show/house-of-the-dragon,8.2,Jio Cinema
taaza-khabar,2023,Romance,https://www.justwatch.com/in/tv-show/taaza-khabar,6.9,Hotstar
ted-lasso,2020,Drama,https://www.justwatch.com/in/tv-show/ted-lasso,7,Apple TV Plus
star-trek-strange-new-worlds,2022,Mystery & Thriller,https://www.justwatch.com/in/tv-show/star-trek-strange-new-worlds,8.2,Jio Cinema
the-crowded-room,2023,Drama,https://www.justwatch.com/in/tv-show/the-crowded-room,not found,Apple TV Plus
kafas,2023,Science-Fiction,https://www.justwatch.com/in/tv-show/kafas,not found,Sony Liv
mayor-of-kingstown,2021,Comedy,https://www.justwatch.com/in/tv-show/mayor-of-kingstown,not found,Amazon Prime Video
